,,,,,,Daily Price Report-01-01-2023 to 31-12-2023,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,000.00","23,100.00","23,100.00",Rs./Quintal,13-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,12-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,200.00","23,300.00","23,300.00",Rs./Quintal,11-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"22,900.00","23,000.00","23,000.00",Rs./Quintal,08-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"22,900.00","23,000.00","23,000.00",Rs./Quintal,07-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,06-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,05-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,04-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,200.00","23,300.00","23,300.00",Rs./Quintal,02-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,01-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,31-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,30-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,28-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,27-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,26-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,25-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,24-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,23-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,22-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,21-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,19-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,700.00","23,800.00","23,800.00",Rs./Quintal,18-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,000.00","24,100.00","24,100.00",Rs./Quintal,17-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,900.00","24,000.00","24,000.00",Rs./Quintal,16-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,000.00","24,100.00","24,100.00",Rs./Quintal,15-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,000.00","24,100.00","24,100.00",Rs./Quintal,14-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,000.00","24,100.00","24,100.00",Rs./Quintal,12-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,000.00","24,100.00","24,100.00",Rs./Quintal,11-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,100.00","24,200.00","24,200.00",Rs./Quintal,10-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,900.00","24,000.00","24,000.00",Rs./Quintal,09-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,100.00","24,200.00","24,200.00",Rs./Quintal,08-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,200.00","24,300.00","24,300.00",Rs./Quintal,04-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,400.00","24,500.00","24,500.00",Rs./Quintal,03-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,200.00","24,300.00","24,300.00",Rs./Quintal,02-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,200.00","24,300.00","24,300.00",Rs./Quintal,01-08-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,100.00","24,200.00","24,200.00",Rs./Quintal,31-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,000.00","24,100.00","24,100.00",Rs./Quintal,29-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,800.00","23,900.00","23,900.00",Rs./Quintal,27-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,700.00","23,800.00","23,800.00",Rs./Quintal,26-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,500.00","23,600.00","23,600.00",Rs./Quintal,25-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,500.00","23,600.00","23,600.00",Rs./Quintal,24-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,000.00","23,100.00","23,100.00",Rs./Quintal,22-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,000.00","23,100.00","23,100.00",Rs./Quintal,21-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"22,600.00","22,700.00","22,700.00",Rs./Quintal,19-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"22,600.00","22,700.00","22,700.00",Rs./Quintal,18-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"22,600.00","22,700.00","22,700.00",Rs./Quintal,17-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"22,900.00","23,000.00","23,000.00",Rs./Quintal,15-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"22,900.00","23,000.00","23,000.00",Rs./Quintal,14-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"22,900.00","23,000.00","23,000.00",Rs./Quintal,13-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,000.00","23,100.00","23,100.00",Rs./Quintal,12-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"22,900.00","23,000.00","23,000.00",Rs./Quintal,11-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"22,900.00","23,000.00","23,000.00",Rs./Quintal,10-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,000.00","23,100.00","23,100.00",Rs./Quintal,09-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,000.00","23,100.00","23,100.00",Rs./Quintal,08-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,06-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,900.00","24,000.00","24,000.00",Rs./Quintal,05-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,700.00","24,800.00","24,800.00",Rs./Quintal,04-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,700.00","24,800.00","24,800.00",Rs./Quintal,03-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,600.00","24,700.00","24,700.00",Rs./Quintal,01-07-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,600.00","24,700.00","24,700.00",Rs./Quintal,30-06-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,400.00","24,500.00","24,500.00",Rs./Quintal,28-06-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,400.00","24,500.00","24,500.00",Rs./Quintal,27-06-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,500.00","24,600.00","24,600.00",Rs./Quintal,26-06-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,300.00","24,400.00","24,400.00",Rs./Quintal,24-06-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,300.00","24,400.00","24,400.00",Rs./Quintal,23-06-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,400.00","24,500.00","24,500.00",Rs./Quintal,22-06-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"24,400.00","24,500.00","24,500.00",Rs./Quintal,21-06-2023
